Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Júnior, Ed Wilson; Bolzan, Willian; ",Modelgame: Bridging the Gap between Gamification and Software Modeling Teaching a Quality Model for Objective Evaluation and Enhanced Learning Experiences,Available at SSRN 4655011,,,,,
"Salomone, Stephanie; Dillon, Heather; Prestholdt, Tara; Peterson, Valerie; James, Carolyn; Anctil, Eric; ",Making teaching matter more: reflect at the University of Portland,Transforming institutions: Accelerating systemic change in higher education,,,,2020.0,Pressbooks
"Graham, Matthew; Jacobson, K; Smith, M; Husman, Jenefer E; Finelli, Cynthia J; Borrego, Maura J; Prince, Michael P; ","The relations between students’ belongingness, self-efficacy, and response to active learning",Annual meeting program American Educational Research Association,,,,2022.0,AERA
"Brewer, Cameron D; ",Proof Golf: A Logic Game,Teaching Philosophy,,,,2022.0,
"Ahmad, Shabir; Umirzakova, Sabina; Mujtaba, Ghulam; Amin, Muhammad Sadiq; Whangbo, Taegkeun; ","Education 5.0: requirements, enabling technologies, and future directions",arXiv preprint arXiv:2307.15846,,,,2023.0,
"Evenhouse, D; Patel, N; Rhoads, J; Krousgrill, C; Berger, E; DeBoer, J; Kandakatla, R; de Freitas, CCS; Stites, NA; Prebel, T; ","Development of a video coding structure to record active, blended, and collaborative pedagogical practice",2017 Research in Engineering Education Symposium,,,,2017.0,
"Dahmen, Marc; Quezada, Luis; Alfaro, Miguel; Fuertes, Guillermo; Aballay, Claudio; Vargas, Manuel; ",Teaching artificial intelligence using project based learning,EasyChair preprint,,,,2020.0,
"Maniu, Cristina Stoica; Bertrand, Sylvain; Burlion, Laurent; ",Feedback on Drone Arenas-based Remote international Teaching–DAReTeach,2024 IFAC Workshop on Aerospace Control Education,,,,2024.0,
"Sarkkinen, Tuomas; ",Reliabiliteettitutkimus: Havainnoijien välinen yhteneväisyys observoinnissa,Helsingin yliopisto. Opettajankoulutuslaitos. Pro Gradututkimus. PDF-dokumentti. Saatavissa: https://helda. helsinki. fi/bitstream/handle/10138/235762/Tuomas_Sarkkinen_Progradu_04_2018. pdf,,,,2018.0,
"Amoras, R; Mariano, Ari Melo; Milhomem, Patrícia Mota; ",Engineering and Active Learning: five years of literature’review for engineering through the meta-analytical approach,International Symposium on Project Approaches in Engineering Education,,,,2018.0,
"Pocek, Jasna; ",Which types of institutions influence the development of entrepreneurial ecosystems? A legal systems perspective,International Review of Entrepreneurship,,,,2020.0,
"Lande, Micah; Jordan, Shawn S; Weiner, Steven; ",Making people and projects: Implications for designing Making-based learning experiences,2017 Pacific Southwest Section Meeting,,,,2017.0,
"Lande, Micah; ","Learning Trajectories Through Learning Making and Engineering, and Implications",American Society for Engineering Education,,,,2021.0,
