Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Broderick, Thomas; O’Leary, Eileen; O’Sullivan, Linda; O’Mahony, Jim; ",The Be ACTIVE Framework,100 Ideas for Active Learning,,,,2022,University of Sussex Library
"Praherdhiono, Henry; Abidin, Zainul; ","Choose Science, Art or Alchemy as a Modern Learning Design Metaphor: From the Perspective of Heutagogy",1st International Conference on Information Technology and Education (ICITE 2020),,,578-583,2020,Atlantis Press
"Weston, Lawrence Edward; ",Fractals: A Natural Model Technology Supported Learning Outside,,,,,2021,
"Kjeer, Julie M; ",Transformational Teaching in a Culturally Passive Environment in Higher Education: A Phenomenological Study of STEM Professors,,,,,2020,"Minnesota State University, Mankato"
"Evenhouse, David A; ",Student Implementation Experiences in Blended Learning: A Phenomenographic and Narrative Analysis to Inform Pedagogical Innovation,,,,,2020,Purdue University
"Jaccard, Dominique; Bonnier, Knut Erik; Hellström, Magnus; ",How might serious games trigger a transformation in project management education? Lessons learned from 10 Years of experimentations,Project Leadership and Society,3,,100047,2022,Elsevier
"Freeworth, Staci; ",A phenomenological case study of faculty experiences with student resistance in stem gateway courses: A comparison of the use of Learning Assistants (LAs) and traditional teachings styles,,,,,2021,Bowling Green State University
"Brooks, Brian Keith; ",Relationship between case-based teaching and learning strategies and clinical knowledge application,,,,,2020,Capella University
"Gascon, Vanessa T; ",ACADEMIC EDUCATIONAL DISPOSITION OF TEACHERS AND DOMAINS OF LEARNING PRACTICES OF STUDENTS,,,,,,
"Indreswari, Henny; Prihatmoko, Yulias; Nindigraha, Nunung; ",Candidate for Personal Learning Counselors Electronic Materials on Learning Environment,1st International Conference on Information Technology and Education (ICITE 2020),,,568-572,2020,Atlantis Press
"Wiener, C; Radnai, T; Tasnádi, P; ",Investigation of first-year university students’ performance,Journal of Physics: Conference Series,1929,1,012089,2021,IOP Publishing
"Silva, Roberta; Bombieri, Rosi; ",CO-CREATING TEACHING AND LEARNING: AN “EMOTIONAL SUSTAINABLE” TEACHING INNOVATION,ICERI2021 Proceedings,,,1386-1394,2021,IATED
"Panjaitan, Sriwidya Hotmaria; Hartono, Hartono; Dharmansyah, Eddy; ",Improving chemistry learning outcomes for vocational students using ARIAS learning model,Jurnal Pendidikan Progresif,8,2,117-126,2018,
"Ukueva, Busharipa Kozhoyarovna; ","THE ROLE OF INTERACTIVE METHODS IN PRESENTATION OF TEACHERS COMPETENCE IN OSH STATE UNIVERSITY, KYRGYZSTAN.",Theoretical & Applied Science,,6,206-209,2020,Товарищество с ограниченной ответственностью Теоретическая и прикладная наука
"Bell, Justine; ",Three minds are better than one: collaborative teaching in an interdisciplinary science course,"Pédagogie collégiale vol. 35, no 4, summer 2022",,,,2022,Association québécoise de pédagogie collégiale (AQPC)
"Choi, Chang Kyoung; Barr, Nancy; ",Peer Presentations as a Student-centered Learning Approach in the Nanotechnology Class,,,,,2020,
"Johns, Eric; Ditta, Annie S; ",Business as Unusual–Navigating the Transition Back to In-Person Instruction,,,,,,
"Susanti, Yuliana Putri; ",TEACHER’S AND STUDENTS’BELIEFS ON THE USE OF JIGSAW LEARNING STRATEGY FOR COOPERATIVE LEARNING IN ENGLISH LANGUAGE TEACHING,,,,,,
"Reis, Magda Filomena Almeida; ",Conceção de Visitas de Estudo Virtuais ao Património Natural Local: Um Estudo de Caso Com Alunos do 8. º ano de Escolaridade,,,,,2022,Instituto Politecnico de Leiria (Portugal)
"Nadeem, Muhammad Asif; Aslam, Rao Nadeem; Sarwar, Shakeel; Habib, Muhammad Badar; Shafique, Owais; ","Assessing Effects of Learning through Observation, on Teacher's Attitude towards Socially Active Teaching",Paradigms,14,1,250-256,2020,University of Central Punjab
"Rodríguez, Ruth; Sánchez, Lilliam Angulo; Sancho, Natalie Leitón; ",Desarrollo de la metodología de aprendizaje basado en problemas en un curso de ingeniería,Revista Educación en Ingeniería,15,30,26-33,2020,
"Norton, Paran Rebekah; High, Karen A; Bridges, William; ",Towards creating motivationally supportive course structures for introductory calculus,2020 ASEE Virtual Annual Conference Content Access,,,,2020,
"BAYDERE, Fethiye KARSLI; ",FEN BİLİMLERİ EĞİTİMİ ANABİLİM DALI’NDA LİSANSÜSTÜ EĞİTİM YAPAN ÖĞRENCİLERİN ALDIKLARI STEM EĞİTİM YAKLAŞIMI DERSİ SÜRECİNE İLİŞKİN GÖRÜŞLERİ,SOCIAL MENTALITY AND RESEARCHER THINKERS JOURNAL (SMART JOURNAL),6,39,2649-2662,2024,
"Shdaifat, Sameer Aowad Kassab; ",The Extent of Employing the Active Learning Strategies in the Vocational Education Course in Jordan from the Perspective of Teachers and Students,,,,,2020,
"Jensen, Elizabeth A; ",Reducing Attrition in General Chemistry by Redesigning the Class Format,"Chemistry Student Success: A Field-Tested, Evidence-Based Guide",,,87-100,2020,ACS Publications
"Shekhar, Prateek; ",GIFTS: Overcoming Student Resistance to Active Learning: First-Year Educator’s Experiences of Transferring Research into Practice,2020 First-Year Engineering Experience,,,,2020,
"Michuy, Carlos Manuel Núñez; ","Modelo pedagógico basado en pensamiento complejo de Edgar Morín en la Gestión Escolar, Unidad Educativa Ángel Polibio Cháves, Ecuador 2020",,,,,2021,Universidad Cesar Vallejo
"Chintakunta, Harish; Alsweiss, Suleiman; Vargas, Jorge; Holton, Doug; ",Using Peer Led Team Learning (PLTL) approach to improve retention in ECE gateway courses,,,,,2020,
"Costa, Arthur R; Cornelio, Emily; Silva, Fernanda R; Batista, Filipe A; Santos, Larissa PC; Oliveira, Marcus JA; Koide, Carla Maria Chagas Cavalcante; Viana, Dianne M; ",Active learning workshops production: impacts and benefits for engineering students,,,,,2020,"Department of Production and Systems–PAEE association, School of Engineering …"
"Codony, Anna Amadó; ",Percepcions sobre l’ús de les metodologies actives a les aules universitaries: Un estudi pilot,Revista del Congrés Internacional de Docència Universitària i Innovació (CIDUI),,6,,2023,
"Model, ARIAS Learning; ",Improving Chemistry Learning Outcomes for Vocational Students Using,,,,,,
"Bencosme, Christian López; ",Personalized Adaptive Gamification Systems to Improve Performance and Motivation,,,,,2019,The Pennsylvania State University
"Whitaker, BD; ",Using a Futures Trading Game to Teach Animal Science Students About Hog Markets,NACTA Journal,64,,282-286,2019,JSTOR
"Diamond, Kate K; ",First-generation Students’ Experiences of the Classroom Climate in a Redesigned Gateway Math Course: A Mixed Methods Case Study,,,,,2019,University of Minnesota
"Grunenfelder, Lessa; ",Active learning in an introductory materials science course,2019 ASEE Annual Conference & Exposition,,,,2019,
"Finelli, Cynthia J; Carroll, Laura; Prince, Michael; Husman, Jenefer; ",Promoting adoption of active learning and use of strategies to reduce student resistance to active learning,Research in Engineering Education Symposium,,,,2019,
"Hill, M; Nam, NQ; Canty, N; ",A STUDENT QUESTIONNAIRE TO SUPPORT STEM PROFESSIONAL DEVELOPMENT,ICERI2019 Proceedings,,,627-636,2019,IATED
"Cendikia, Romadon Romadon ITBA Dian Cipta; Cipta, Nurul Ari Yani ITBA Dian; ",Strategi dan Evaluasi Meningkatkan Keterampilan Berpikir Kreatif: Systematic Literature Review,,,,,,
"Shilling, Tammy Renee; ","How Faculty and Student Preferences for Active and Traditional Instructional Methods Relate to Their Beliefs, Quantity, and Quality of Experiences, Knowledge of the Benefits, and Professional Training",,,,,2021,Andrews University
"Muzaki, Ferril Irham; ",Integrated language learning in elementary school,AKSIS: Jurnal Pendidikan Bahasa dan Sastra Indonesia,5,2,439-445,2021,Universitas Negeri Jakarta
"Praherdhiono, Henry; ","Memilih Sain, Seni atau Alchemy Sebagai Metafora Desain Pembelajaran Kekinian (Pada perspekstif Heutagogy)",,,,,2018,
"Amadó Codony, Anna; Mundet, Helena Benito; Llop, Esther; Verdaguer Planas, Marta; Ballester-Ferrando, David; Alsina Tarrés, Miquel; Comas, Joaquim; ",TÍTULO: PERCEPCIONS SOBRE L’ÚS DE LES METODOLOGIES ACTIVES A LES AULES UNIVERSITARIES,,,,,,
"Haag, Maria Therese; ",Genetics in practice: applications of quantitative genetics to environment and educational pursuits,,,,,2018,University of Missouri--Columbia
"Chasteen, Stephanie; ",PhysPort Supporting physics teaching with research-based resources,,,,,,
"DCNs, DAS NOVAS; ",EDUCANDO O ENGENHEIRO DO SÉCULO XXI: APRENDIZAGEM ATIVA PARA FORMAÇÃO POR COMPETÊNCIAS NO CONTEXTO,,,,,,Universidade do Minho
"МУСАБЕКОВА, СА; МХИТАРЯН, КЭ; ",ФАРМАЦИЯ КАЗАХСТАНА,ФАРМАЦИЯ,,4,55-63,,
"Basir, Mochamad Abdul; Waluya, SB; ",European Journal of Mathematics and Science Education,Science Education,2,2,163-175,2021,
"Amadó Codony, Anna; Benito Mundet, Helena; Llop Escorihuela, Esther; Verdaguer Planas, Marta; Ballester Ferrando, David; Alsina i Tarrés, Miquel; Comas Matas, Joaquim; Terradellas, M Rosa; Gutiérrez del Moral, María Jesús; Rodríguez-Roda Layret, Ignasi; ",Percepcions sobre l'ús de les Metodologies Actives a les Aules Universitàries,"© Revista del Congrés Internacional de Docència Universitària i Innovació (CIDUI), 2023, vol. 6, art. núm. 417361",,,,2023,Congrés Internacional de Docència Universitària i Innovació (CIDUI)
"Mendoza, Alejandro Miguel Rosas; ",Avances en matemática educativa,Tecnología y Matemática. México,,,,2016,
"Ngọc, Phạm Thái Bảo; ",Xây dựng môi trường học tập chủ động cho sinh viên đại học,TẠP CHÍ KHOA HỌC ĐẠI HỌC MỞ THÀNH PHỐ HỒ CHÍ MINH-KHOA HỌC XÃ HỘI,17,1,123-137,2022,
"Gouveia, João; ",Como organizar e gerir um processo de realização de um ensaio usando princípios da aprendizagem baseada em projetos,,,,,,
"DO, APRENDIZAGEM EM ESTUDANTES SEXTO ANO; BÁSICO, ENSINO; ",EMPLEO DEL MATERIAL DIDÁCTICO EN EL PROCESO DE ENSEÑANZA-APRENDIZAJE EN LOS ESTUDIANTES SEXTO AÑO DE EDUCACIÓN BÁSICA,"SUPLEMENTO CICA, multidisciplinario N: 014-2022",,,273,,
"Прокопенко, ІА; ","Критерії, показники та рівні сформованості готовності майбутніх учителів до здійснення фасилітаційної взаємодії з учнями",EDUCATIONAL CHALLENGES,,61,165-179,2020,
"Godager, Linda Helen; Sandve, Simen Rød; Fjellheim, Siri; ",Tilrettelegging for dybdelæring ved bruk av samarbeidslæring og hverandrevurdering-med 200 studenter.,Nordic Journal of STEM Education,5,1,,2021,
"DI KENORMALAN, BARU; ",PENDEKATAN HEUTAGOGI UNTUK KEMANDIRIAN PEBELAJAR,Nitisastra# 5,,,2,2021,
"MARPAUNG, NANCY; CHI, FENG-MING; CHUANG, MINTUN; LEE, LI-FENG; ",詳目顯示,,,,,,
"Praherdhiono, Henry; ",PENDEKATAN HEUTAGOGY PADA PENGEMBANGAN SUMBER BELAJAR DIGITAL DI BIDANG VOKASI,,,,,2017,
"Veloo, V Ravindran M; Ayob, Adenan; ","PEMBELAJARAN AKTIF DALAM TALIAN UNTUK CERPEN KOMPONEN SASTERA: ANALISIS PENCAPAIAN, MINAT DAN TINGKAH LAKU",,,,,,
"Прокопенко, ІА; ",ХАРАКТЕРИСТИКА КОМПОНЕНТІВ НАУКОВОТЕХНОЛОГІЧНОЇ СИСТЕМИ ПІДГОТОВКИ МАЙБУТНІХ УЧИТЕЛІВ ДО ЗДІЙСНЕННЯ ФАСИЛІТАЦІЙНОЇ ВЗАЄМОДІЇ З УЧНЯМИ,Теорія та методика навчання та виховання,,48,183-194,2020,
"CALDERON, Ivanilse; SILVA, Williamson; FEITOSA, Eduardo; ",Active Learning Methodologies for Teaching Programming: a Systematic Mapping Study,,,,,2022,
"Freel, Mike; ",A Guide for Assessing Student Retention and Recommended Strategies for Change,,,,,,
"Sarteshneizy, Mojtaba Reisi; Ghazanfari, Ahmad; Ahmadi, Reza; Sharifi, Tayebeh; ",Adolescent and Youth Psychological Studies,Young,4,8,11-18,2023,
"Wright, Lenore; Richmann, Christopher; Herridge, Michelle; Clarkson, Craig R; Council, Advisory; Fellows, Baylor; TeaCHE, FAQ; Matters, Teaching; Schultz, Anne-Marie; Weaver, Charles; ",Engagement in Online Learning,,,,,,
"Zuve, Farel Olva; Fadhil, A-Syifa Rumaysah; Ananda, Refisa; ",Inovasi Pembelajaran Interaktif REACT: Strategi Efektif untuk Meningkatkan Keterampilan Menulis Mahasiswa,Lingua Susastra,5,2,114-130,2024,
"Li, Yeping; Xiao, Yu; Wang, Ke; Zhang, Nan; Pang, Yali; Wang, Ruilin; Qi, Chunxia; Yuan, Zhiqiang; Xu, Jianxing; Nite, Sandra B; ",A systematic review of high impact empirical studies in STEM education,International Journal of STEM Education,9,1,72,2022,Springer
"Stodden, David F; Pesce, Caterina; Zarrett, Nicole; Tomporowski, Phillip; Ben-Soussan, Tal Dotan; Brian, Ali; Abrams, T Cade; Weist, Mark D; ",Holistic functioning from a developmental perspective: A new synthesis with a focus on a multi-tiered system support structure,Clinical Child and Family Psychology Review,26,2,343-361,2023,Springer US New York
"Nusri, Ardi; Prima, Asep; Ardi, Nurul Fadilah; Ockta, Yovhandra; Setiawan, Yogi; Orhan, Bekir Erhan; Geantă, Vlad Adrian; Karaçam, Aydin; ",Design of basic football skills test instrument for university students,"Retos: nuevas tendencias en educación física, deporte y recreación",,59,649-657,2024,Federación Española de Asociaciones de Docentes de Educación Física (FEADEF)
"Diego-Mantecon, Jose-Manuel; Prodromou, Theodosia; Lavicza, Zsolt; Blanco, Teresa F; Ortiz-Laso, Zaira; ",An attempt to evaluate STEAM project-based instruction from a school mathematics perspective,ZDM–Mathematics Education,53,5,1137-1148,2021,Springer
"Fandos-Herrera, Carmina; Jiménez-Martínez, Julio; Orús, Carlos; Pérez-Rueda, Alfredo; Pina, José Miguel; ",The influence of personality on learning outcomes and attitudes: The case of discussants in the classroom,The International Journal of Management Education,21,1,100754,2023,Elsevier
"Czech, Herwig; Hildebrandt, Sabine; Reis, Shmuel P; Chelouche, Tessa; Fox, Matthew; González-López, Esteban; Lepicard, Etienne; Ley, Astrid; Offer, Miriam; Ohry, Avi; ","The Lancet Commission on medicine, Nazism, and the Holocaust: historical evidence, implications for today, teaching for tomorrow",The Lancet,402,10415,1867-1940,2023,Elsevier
"Halawa, Suarman; Lin, Tzu-Chiang; Hsu, Ying-Shao; ",Exploring instructional design in K-12 STEM education: a systematic literature review,International Journal of STEM Education,11,1,43,2024,Springer
"Rozhenkova, Veronika; Snow, Lauren; Sato, Brian K; Lo, Stanley M; Buswell, Natascha Trellinger; ",Limited or complete? Teaching and learning conceptions and instructional environments fostered by STEM teaching versus research faculty,International Journal of STEM Education,10,1,51,2023,Springer
"Wu, Min Lun; Zhou, Yuchun; Li, Lan; ","The effects of a gamified online course on pre-service teachers’ confidence, intention, and motivation in integrating technology into teaching",Education and Information Technologies,28,10,12903-12918,2023,Springer
"Wilson, Erica; Roche, Thomas; Goode, Elizabeth; McKenzie, John W; ","Creating the conditions for student success through curriculum reform: the impact of an active learning, immersive block model",Higher education,,,1-21,2024,Springer
"Liang, Zheng; Ga, Riman; Bai, Han; Zhao, Qingbai; Wang, Guixian; Lai, Qing; Chen, Shi; Yu, Quanlei; Zhou, Zhijin; ",Teaching expectancy improves video‐based learning: Evidence from eye‐movement synchronization,British Journal of Educational Technology,56,1,231-249,2025,Wiley Online Library
"Liou, Shwu‐Ru; Cheng, Ching‐Yu; Chu, Tsui‐Ping; Chang, Chia‐Hao; Liu, Hsiu‐Chen; ",Effectiveness of differentiated instruction on learning outcomes and learning satisfaction in the evidence‐based nursing course: Empirical research quantitative,Nursing open,10,10,6794-6807,2023,Wiley Online Library
"Zhou, Yuchun; ",Teaching mixed methods using active learning approaches,Journal of Mixed Methods Research,17,4,396-418,2023,"SAGE Publications Sage CA: Los Angeles, CA"
"Moussa, Nahla; Bentoumi, Rachid; Saali, Tariq; ",Promoting Student Success with Neutrosophic Sets: Artificial Intelligence and Student Engagement in Higher Education Context.,International Journal of Neutrosophic Science (IJNS),23,1,,2024,
"Doolittle, Peter; Wojdak, Krista; Walters, Amanda; ",Defining active learning: A restricted systematic review,Teaching and Learning Inquiry,11,,,2023,
"Gawlik, Kate Sustersic; Teall, Alice M; Zeno, Rosie; Newtz, Christa; Conrad, Katey; Kolcun, Kaitlyn; Bobek, Heidi; Deerhake, Ann; Sullivan, Kelly; Rengers, Brooke; ",Integrating wellness into curricula using the ten dimensions of wellness as a framework,Journal of Professional Nursing,50,,73-82,2024,Elsevier
"Garcia, Manuel B; ",Facilitating Group Learning Using an Apprenticeship Model: Which Master is More Effective in Programming Instruction?,Journal of Educational Computing Research,61,6,1207-1231,2023,"SAGE Publications Sage CA: Los Angeles, CA"
"Zhou, Wanying; McLellan, Ros; ","The effectiveness of taught, self‐help mindfulness‐based interventions on Chinese adolescents' well‐being, mental health, prosocial and difficult behavior, and coping strategy",Applied Psychology: Health and Well‐Being,16,3,1024-1045,2024,Wiley Online Library
"Sukino, Sukino; Sumin, Sumin; Mahrus, Erwin; Salim, Ahmad; Muttaqin, Imron; Supriyatno, Triyo; ",Memorization and discussion methods effect on achievement and communication skills,International Journal of Evaluation and Research in Education (Ijere),13,2,1123-1131,2024,Institute of Advanced Engineering and Science (IAES)
"Romero-Yesa, Susana; Fonseca, David; Aláez, Marian; Amo-Filva, Daniel; ",Qualitative assessment of a challenge-based learning and teamwork applied in electronics program,Heliyon,9,12,,2023,Elsevier
"Ngoon, Tricia J; Kovalev, David; Patidar, Prasoon; Harrison, Chris; Agarwal, Yuvraj; Zimmerman, John; Ogan, Amy; ",""" An Instructor is [already] able to keep track of 30 students"": Students’ Perceptions of Smart Classrooms for Improving Teaching & Their Emergent Understandings of Teaching and Learning",Proceedings of the 2023 ACM designing interactive systems conference,,,1277-1292,2023,
"Campanyà, Carles; Fonseca, David; Amo, Daniel; Martí, Núria; Peña, Enric; ",Mixed analysis of the flipped classroom in the concrete and steel structures subject in the context of COVID-19 crisis outbreak. A pilot study,Sustainability,13,11,5826,2021,MDPI
"Carroll, Laura J; Reeping, David; Finelli, Cynthia J; Prince, Michael J; Husman, Jenefer; Graham, Matthew; Borrego, Maura J; ",Barriers instructors experience in adopting active learning: Instrument development,Journal of Engineering Education,112,4,1079-1108,2023,Wiley Online Library
"Broseghini, Anna; Lõoke, Miina; Brscic, Marta; Raffaghelli, Juliana; Cardazzo, Barbara; Lotti, Antonella; Cavicchioli, Laura; Marinelli, Lieta; ","Exploring the effectiveness of problem-based learning in an international undergraduate program in veterinary sciences: students’ satisfaction, experience and learning",Veterinary Sciences,11,3,104,2024,MDPI
"Alammary, Ali Saleh; ",Blended learning delivery methods for a sustainable learning environment: A Delphi study,Sustainability,16,8,3269,2024,MDPI
"Clark, Ted M; Ricciardo, Rebecca; Turner, Daniel A; ",Distributed Active Learning (DAL): An approach to reduce class size in large enrollment courses,Journal of Chemical Education,101,5,1974-1982,2024,"American Chemical Society and Division of Chemical Education, Inc."
"Biwer, Felicitas; Taban, Gabriel; de Bruin, Anique; ",How undergraduate engineering students regulate their learning: a qualitative comparison between different strategy users,European Journal of Engineering Education,,,1-20,2025,Taylor & Francis
"Prahani, Binar Kurnia; Jatmiko, Budi; Amelia, Tan; Arzak, Kirana Aureola; Qotrunnada, Nova Allysa; Neswary, Shalsa Billa Ardhana; ",Research profile of inquiry on physics learning during the COVID-19 pandemic,Jurnal Penelitian Pendidikan IPA,9,1,20-30,2023,
"Pranata, Rudi; ",Stem Education in Science Learning: Systematic Literature Review,Jurnal Penelitian Pendidikan IPA,9,8,424-431,2023,
"Bali, Tanisha; Mann, Bhawan; Minosky, Shayna A; ",Student perceptions of the use and effectiveness of engagement strategies in the online learning environment,Active Learning in Higher Education,,,14697874241303154,2024,"SAGE Publications Sage UK: London, England"
"Cresswell, Sarah L; Loughlin, Wendy A; Kim, Tak H; ",Implementing an interactive online platform in a large undergraduate general chemistry course and its impact on student learning and perceptions,Chemistry Education Research and Practice,25,3,703-720,2024,Royal Society of Chemistry
"Муродходжаева, НС; Аверин, СА; Романова, МА; Серебренникова, ЮА; ",Преемственность дошкольного и начального общего образования средствами stem-образования,Hominum,,2,84-99,2021,Государственное автономное образовательное учреждение высшего образования …
"Irawan, Hendri; Masyitoh, Iim Siti; Rahmat, Rahmat; Darmawan, Cecep; Anggraeni, Leni; Pradanna, Satrio Alpen; ",Inovasi pendidikan karakter dalam kurikulum 2013 dan kurikulum Merdeka,SAP (Susunan Artikel Pendidikan),9,1,84-93,2024,
"Zhang, Fang; ",Enhancing ESG learning outcomes through gamification: An experimental study,Plos one,19,5,e0303259,2024,"Public Library of Science San Francisco, CA USA"
"Sukarno, Sukarno; Win, Khin Tan; Hong, Dong Anh Chi; ",Teachers' Views Regarding the Character of Students' Perseverance in Science Learning,Integrated Science Education Journal,5,1,59-64,2024,
"Halimi, Florentina; Tryzna, Marta; Brunstein, Angela; ",Motivational orientation and perception of active learning instruction by pre-service language teachers,Frontiers in Psychology,15,,1307733,2024,Frontiers Media SA
"Ariza, Jonathan Álvarez; Hernández Hernández, Carola; ",A Systematic Literature Review of Research-based Interventions and Strategies for Students with Disabilities in STEM and STEAM Education,International Journal of Science and Mathematics Education,,,1-31,2025,Springer
"Reaux, Camille R; Meche, Shelby A; Grider, Jordan M; Dhanabal, Soundharya; Milon, Tarikul I; Chen, Feng; Xu, Wu; ",Design of a TSR-based project learning strategy for biochemistry undergraduate teaching and research labs: a case study,Frontiers in Education,9,,1455173,2025,Frontiers Media SA
"Brooks, Amy L; Brown, Shane A; Shekhar, Prateek; Heath, Kevin; Dominguez, Heydi; Knowles, Jeffrey; ",One size does not fit all: Understanding how faculty implement evidence-based instructional practices in their engineering courses,2022 IEEE Frontiers in Education Conference (FIE),,,1-5,2022,IEEE
"Yusron, Ali; Irawati, Junita; Wibowo, Teguh Setiawan; ",The Impact of Classroom Action Research (CAR) and Innovation on Teacher Professionalism: an Intervention of Competence,Jurnal Informatika Ekonomi Bisnis,,,462-468,2023,
"Jeon, In-Seong; Kim, Shin-Yu; Kang, Seong-Joo; ",Developing Standards for Educational Datasets by School Level: A Framework for Sustainable K-12 Education,Sustainability,16,12,4954,2024,MDPI
"Robertson, David J; McGeown, William J; Wodehouse, Andrew; Lang, Gillian; Woodside, William; Capaldi, Janine; ",Public engagement with science: a novel researcher-led collaboration with a major UK science centre,"International Journal of Science Education, Part B",,,1-13,2024,Taylor & Francis
"Alcaraz-Dominguez, Silvia; Molas-Castells, Núria; ",STEAME projects in basic education: validating a competence framework for educators,Journal of New Approaches in Educational Research,13,1,20,2024,Springer
"Pitaloka, Adinda Dyah; Bharata, Wira; Anwar, Khairil; ",Pelatihan Seni Berbicara di Depan Umum pada Pelajar SMA/K Kota Balikpapan,Jurnal Pengabdian Kepada Masyarakat Nusantara,5,2,2718-2725,2024,
"Xu, Yuansong; Dong, Jiahe; Fan, Yijie; Shao, Yuheng; Jiang, Chang; Jin, Lixia; Cao, Yuanwu; Li, Quan; ",Medillustrator: Improving Retrospective Learning in Physicians' Continuous Medical Education via Multimodal Diagnostic Data Alignment and Representation,arXiv preprint arXiv:2411.15593,,,,2024,
"Derman, Mustafa; ",Isolation of yeasts from different fruits and students’ opinion about microorganisms: Inquiry-based learning,Research in Science & Technological Education,43,1,230-250,2025,Routledge
"Onikienko, Inna; Bratchenko, Liudmyla; Mintii, Iryna; Chaika, Oksana; ",Remote study for the humanities and social sciences: digitization and coaching,SHS Web of Conferences,142,,03001,2022,EDP Sciences
"Higgins, Kieran; Calvert, Alison; ",CRAFTS: Co-Designing Reflective Approaches for the Teaching of Sustainability,Journal of Education for Sustainable Development,,,0169796X241299929,2024,"SAGE Publications Sage India: New Delhi, India"
"Barker, Megan; Mutawe, Batool; Simons, Katie; McDowell, Noah; Wiggins, Benjamin; ",The Classrooms of STEM Graduate Students Are Interactive After a Practice-Based Pedagogical Training Program,Journal of College Science Teaching,53,4,374-381,2024,Taylor & Francis
"Rathore, Ehsan; Riaz, Farhan; Habib, Nabeela; Anjum, Omair; Zahra, Rubbab; Salahuddin, Muhammad Behzad; ",A comparison between teacher centered and student centered medical education approach: an experimental research,Pakistan Journal of Medical & Health Sciences,16,09,104-104,2022,
"Turner, Rebecca; Cotton, Debby RE; Danvers, Emily; Morrison, David; Kneale, Pauline E; ",Exploring academic perspectives on immersive scheduling in a UK university,Journal of University Teaching and Learning Practice,21,2,1-21,2024,"Open Access Publishing Association (OAPA) Launceston, Tasmania"
"Diniya, Diniya; ",An Educational Program Evaluation on Fluid Mechanics Course Oriented Critical Thinking Skill,Madania: Jurnal Ilmu-Ilmu Keislaman,14,1,1-16,2024,
"Rehmat, Abeera P; Towner, Alexandra A; Alemdar, Meltem; Helms, Michael; Porter, Dyanne Baptiste; Moore, Roxanne; Rosen, Jeffrey H; Weissburg, Marc; ",A case study investigating high school teachers’ implementation of an engineering-focused biologically inspired design curriculum (Fundamental Research),2023 ASEE Annual Conference & Exposition,,,,2023,
"Irawan, Hendri; Masyitoh, Iim Siti; Darmawan, Cecep; Sundawa, Dadang; ",The Influence of Character Education within the Indonesia Curriculum: A Quantitative Analysis,Review of Integrative Business and Economics Research,14,2,619-630,2025,Society of Interdisciplinary Business Research
"Poellhuber ac, Bruno; Michelot bc, Florent; ",Les résultats d’un programme de formation à visée transformatrice sur le sentiment d’efficacité personnelle et les pratiques pédagogiques des enseignantes et enseignants,Revue internationale des technologies en pédagogie universitaire,20,2,22-49a,2023,Érudit
"TRAN, HONG H; BERGER, EDWARD J; Rodriguez-Mejia, Fredy; Cuervo-Basurto, Anyerson; ",Organizational Learning in Adoption and Adaptation of Reformed Instructional Practices of Engineering Instructors: A Case Study,International Journal of Engineering Education,40,5,,2024,International Journal of Engineering Education
"Estaiteyeh, Mohammed; DeCoito, Isha; ",Curriculum and pedagogy in STEM teacher education: Developing case studies focusing on socio-scientific issues and differentiated instruction,The Electronic Journal for Research in Science & Mathematics Education,28,2,18-44,2024,
"Dwight, Joshua; ","Collaborate, Design, and Generate Cybercrime Script Tabletop Exercises for Cybersecurity Education",International Conference on Computers in Education,,,,2023,
"Ganira, Khavugwi Lilian; Odundo, Paul Amollo; ",Experiential Learning Style Models on Implementation of Pre-Primary School Social Studies Curriculum: Systematic Review of Related Literature,Asian Journal of Education and Social Studies,42,1,9-20,2023,
"Voon, Betty; Niu, Wan; Wong, Ling Shing; ",Literature Review on the Teaching Engineering Mathematics: Issues and Solutions for Student Engagement,INTI JOURNAL,2024,36,1-11,2024,INTI International University
"Zubair, Abdul Rasak; Olawale, Adeolu Johnson; ",Active learning strategy: Computer aided numerical class project on pole-zero plot and transfer function of five low pass filter approximation functions,Global Journal of Engineering and Technology Advances,12,01,038-063,2022,
"Weaver, Rhonda F; ",Assessing Health Sciences College Faculty Preparedness to Support Early College Students' Academic Success and Transition to Higher Education,,,,,2024,Wingate University
"Al Fawaas, M Anwarul Haq; Mustofa, Zamzam; Daryono, Rihab Wit; ",The Effectiveness of Contextual Teaching and Learning (CTL) and Project Based Learning (PJBL) Methods on Student Learning Outcomes,IJORER: International Journal of Recent Educational Research,5,4,1040-1053,2024,
"Shi, Hui; Hur, Jaesung; Tang, Yuen Man; Dennen, Vanessa P; ",Instructional Strategies for Engaging Online Learners: Do Learner-Centeredness and Modality Matter?.,Online Learning,27,4,271-294,2023,ERIC
"Firdaus, Muliawan; Mukhtar, Mukhtar; ",Reconstructing Multivariable Calculus Learning through Mathematical Discourse for Conceptual and Procedural Understanding,Journal Evaluation in Education (JEE),6,1,45-54,2025,
"Edry, Mercedes; Sasson, Irit; Dori, Yehudit Judy; ",Secondary school apprenticeship research experience: Scientific dispositions and mentor-student interaction,Education Sciences,13,5,441,2023,MDPI
"White, AE; ",Cloud chamber kit for active learning in a first-year undergraduate nuclear science seminar class,Physics Education,57,4,045034,2022,IOP Publishing
